goal,type,group,title,name,description,notes,status,dep,version,wporg_status,wporg_last_updated
deprecate,third-party,util,Duplicate Page,duplicate-page,"Duplicate Posts, Pages and Custom Posts using single click.",Utility plugin.,active,,4.5.4,active,29/07/24
deprecate,third-party,util,Maintenance,maintenance,"Put your site in maintenance mode, away from the public view. Use maintenance plugin if your website is in development or you need to change a few things, run an upgrade. Make it only accessible to logged in users.",Utility plugin.,active,,4.17,active,23/01/25
deprecate,third-party,util,Query Monitor,query-monitor,The developer tools panel for WordPress.,Utility plugin.,inactive,,3.17.0,active,04/02/25
deprecate,third-party,util,Regenerate Thumbnails,regenerate-thumbnails,Regenerate the thumbnails for one or more of your image uploads. Useful when changing their sizes or your theme.,Utility plugin.,active,,3.1.6,active,14/08/23
deprecate,third-party,util,Under Construction,under-construction-page,"Put your site behind a great looking under construction, coming soon, maintenance mode or landing page.",Utility plugin.,active,,4.01,active,10/02/25
deprecate,third-party,util,WP Rollback,wp-rollback,"Rollback (or forward) any WordPress.org plugin, theme or block like a boss.",Utility plugin.,active,,2.0.7,active,12/12/24
deprecate,third-party,util,WP STAGING WordPress Backup Plugin - Backup Duplicator & Migration,wp-staging,"Backup and staging environments, migrating WordPress sites. Update plugins without risk. Full backup and testing suite - 100% unit and end-to-end tested.",For staging within the instance.,active,,4.0.0,active,13/03/25
migrate,gridpane/server-related,server,GridPane Block Username Enumeration,mu-gridpane-block-username-enumeration,Block User Enumeration,Gridpane artifact.,must-use,,0.1.0,,
migrate,gridpane/server-related,server,GridPane Disable XMLRPC,mu-gridpane-block-wpscan-agent,Block the WP-Scan User Agent,Gridpane artifact.,must-use,,0.1.0,,
migrate,gridpane/server-related,server,GridPane Nginx Cache Purger,mu-gridpane-nginx-cache-purger,Plugin to initiate the FastCGI Cache Purge All on the GridPane Nginx,Gridpane artifact.,must-use,,1.0.0,,
migrate,gridpane/server-related,server,GridPane Remove WP Version,mu-gridpane-remove-wp-version,Replace WP version with the answer to everything...,Gridpane artifact.,must-use,,0.1.0,,
migrate,gridpane/server-related,server,WP CLI Login Command Server,wp-cli-login-server,Companion plugin to the WP-CLI Login Command,Gridpane artifact.,must-use,,1.5,,
migrate,gridpane/server-related,server,WP fail2ban,wp-fail2ban,Write a myriad of WordPress events to syslog for integration with fail2ban.,Gridpane artifact.,must-use,,5.4.0.1,active,28/01/25
migrate,gridpane/server-related,server,Redis Object Cache Drop-In,object-cache.php,External object cache.,Gridpane artifact.,dropin,,,,
migrate,gridpane/server-related,server,Nginx Helper,nginx-helper,Cleans nginx's fastcgi/proxy cache or redis-cache whenever a post is edited/published. Also does few more things.,Gridpane artifact.,active,,2.3.2,active,14/03/25
migrate,gridpane/server-related,server,Redis Object Cache,redis-cache,"A persistent object cache backend powered by Redis. Supports Predis, PhpRedis, Relay, replication, sentinels, clustering and WP-CLI.",Gridpane artifact.,active,,2.5.4,active,15/10/24
migrate,gridpane/server-related,server,WP fail2ban,wp-fail2ban,Write a myriad of WordPress events to syslog for integration with fail2ban.,Gridpane artifact.,active,,5.4.0.1,active,28/01/25
migrate,third-party,analytics,GTM4WP - A Google Tag Manager (GTM) plugin for WordPress,duracelltomi-google-tag-manager,The first Google Tag Manager plugin for WordPress with business goals in mind,Handles the Google Tag.,active,,1.20.3,active,09/12/24
migrate,third-party,backup,WPvivid Backup Plugin,wpvivid-backuprestore,"Clone or copy WP sites then move or migrate them to new host (new domain), schedule backups, transfer backups to leading remote storage. All in one.",Handles backups and upload to DigitalOcean bucket.,active,,0.9.112,active,18/02/25
migrate,third-party,blocks,Lazy Blocks,lazy-blocks,Easily create custom blocks and custom meta fields for Gutenberg without hard coding.,"Custom blocks.
- Dossier - Archivo - Bajada e imagen
- Dossier - Bajada y autorxs
- Notas – Bajada
- Autorxs Invitadxs
- Fotogalería-Block (no longer used)

Probably ideal to replace, but need to be prioritized, since it’s a critical part of the content creation workflow, but it’s rather agnostic and independent from Oxygen. ",active,,3.8.3,active,21/12/24
migrate,third-party,editorial,Radio Buttons for Taxonomies,radio-buttons-for-taxonomies,Use radio buttons for any taxonomy so users can only select 1 term at a time,"Not really needed, but necessary for workflow and avoid multiple taxonomies for an article.",active,,2.4.7,active,28/01/25
migrate,third-party,editorial,Required taxonomies,required-taxonomies,"Force users to select a taxonomy term, for example, category or tag, when publishing posts.","Not really needed, but necessary for workflow and avoid articles with no taxonomies selected..",active,,1.2.1,active,24/10/24
migrate,third-party,editorial,Smash Balloon Custom Facebook Feed,custom-facebook-feed,Add completely customizable Facebook feeds to your WordPress site,Mostly used for embeds.,active,,4.2.6,active,13/03/25
migrate,third-party,editorial,Smash Balloon Instagram Feed,instagram-feed,"Display beautifully clean, customizable, and responsive Instagram feeds.",Mostly used for embeds.,active,,6.6.1,active,12/03/25
migrate,third-party,optimization,EWWW Image Optimizer,ewww-image-optimizer,"Smaller Images, Faster Sites, Happier Visitors. Comprehensive image optimization that doesn't require a degree in rocket science.",Image  optimizer.,active,,8.0.0,active,26/03/25
migrate,third-party,optimization,Flying Scripts: Delay JavaScript to Improve Site Speed & Performance,flying-scripts,"Delay JavaScript to boost speed by loading scripts only when needed, reducing render-blocking for faster loading and a smoother user experience.",Handles loading assets (JS/CSS) on user interact. ,active,,1.2.4,active,13/12/24
migrate,third-party,optimization,Freesoul Deactivate Plugins,freesoul-deactivate-plugins,Disable plugins on specific pages for performance improvement and support in problem-solving even when you have many plugins.,Provides conditional plugin deactivation.,active,,2.3.0,active,26/02/25
migrate,third-party,optimization,"WP-Optimize - Clean, Compress, Cache",wp-optimize,"WP-Optimize makes your site fast and efficient. It cleans the database, compresses images and caches pages. Fast sites attract more traffic and users.","Mostly used for DB cleanup (revisions, automatic drafts, deleted posts, spam/comments). This could be handled through a mu-plugin, maybe cron. Migrate for now.",active,,3.8.0,active,06/03/25
migrate,third-party,seo,Rank Math SEO,seo-by-rank-math,Rank Math SEO is the Best WordPress SEO plugin with the features of many SEO and AI SEO tools in a single package to help multiply your SEO traffic.,SEO.,active,,1.0.236,active,26/03/25
migrate,third-party,user-management,Adminimize,adminimize,"Visually compresses the administrative meta-boxes so that more admin page content can be initially seen. The plugin that lets you hide 'unnecessary' items from the WordPress administration menu, for all roles of your install. You can also hide post meta controls on the edit-area to simplify the interface. It is possible to simplify the admin in different for all roles.",Handles role-based WordPress backend access to certain parts of the site.,active,,1.11.11,active,15/03/24
migrate,third-party,user-management,User Role Editor,user-role-editor,Change/add/delete WordPress user roles and capabilities.,Handles user roles capabilities.,active,,4.64.4,active,15/12/24
migrate,third-party,util,freesoul deactivate plugins [fdp],eos-deactivate-plugins,mu-plugin automatically installed by freesoul deactivate plugins,Provides conditional plugin deactivation.,must-use,,2.3.0,,
migrate,third-party,util,Code Snippets,code-snippets,"An easy, clean and simple way to run code snippets on your site. No need to edit to your theme's functions.php file again!","Provides custom code snippets not encapsulated in a custom plugin. Need to be analized because it touches multiple functionalities. There is some potential grouping (ie, RSS) for better encapsulation later on.",active,,3.6.7,active,14/02/25
migrate,third-party,util,Disable REST API,disable-json-api,Disable the use of the REST API on your website to anonymous users. You can optionally enable select endpoints if you wish. Now with support for User Roles!,"Not used in a meaningful way, could be handy for tightening the REST API access.",active,,1.8,active,13/09/23
migrate,third-party,util,FluentSMTP,fluent-smtp,The Ultimate SMTP Connection Plugin for WordPress.,Handles SMTP.,active,,2.2.83,active,07/02/25
migrate,third-party,util,Quick Featured Images,quick-featured-images,"Your time-saving Swiss Army Knife for featured images: Set, replace and delete them in bulk, in posts lists and set default images for future posts.","Not really needed, but handy.",active,,13.7.2,active,24/01/25
migrate,third-party,util,Safe SVG,safe-svg,Enable SVG uploads and sanitize them to stop XML/SVG vulnerabilities in your WordPress website,Handles SVG uploads.,active,,2.3.1,active,05/12/24
migrate,third-party,util,WP STAGING Optimizer,wp-staging-optimizer,Prevents 3rd party plugins from being loaded during WP STAGING specific operations.,For staging within the instance.,must-use,,1.5.9,,
migrate,third-party,UX,AddToAny Share Buttons,add-to-any,"Share buttons for your pages including AddToAny's universal sharing button, Facebook, Mastodon, LinkedIn, Pinterest, WhatsApp and many more.",Social sharing.,active,,1.8.13,active,21/11/24
migrate,third-party,UX,Ajax Load More,ajax-load-more,The ultimate solution to add infinite scroll and load more functionality to your website.,Provides Load More functionality in homepage.,active,,7.2.0.1,active,12/02/25
migrate,third-party,UX,Ajax Search Lite,ajax-search-lite,The lite version of the most powerful ajax powered search engine for WordPress.,Provides ajax search globally.,active,,4.12.6,active,27/01/25
migrate,third-party,UX,Breadcrumb NavXT,breadcrumb-navxt,"Adds a breadcrumb navigation showing the visitor&#39;s path to their
current location.","Used in posts, archives, and search results.",active,,7.4.1,active,13/01/25
replace,custom,content-types,Camalote - Models,camalote-models,Este plugin registra los Custom Post Types (Models) para el sitio web de Sudaka.,Handles post type and custom field registration for fotoperiodismo post type.,active,,1.0.0,,
replace,custom,optimization,Camalote - Disable media sizes,camalote---disable-media-sizes,"This plugin is responsible for disabling the generated media sizes, either by plugins, themes, or WordPress.",Disable media sizes.,active,,0.0.1,,
replace,custom,UX,Camalote - Ajax Load More extension,camalote-ajax-load-more,"Extensión para usar un template personalizado con Ajax Load More, con dependencias con Winden.","Add Tailwind classes and filter some settings for Ajax Load More, including a custom template.",active,Winden,1.0.0,,
replace,custom,UX,Camalote - Librerías globales,camalote-librerias-globales,"Este plugin se encarga de cargar las librerías de uso global, como Micromodal, Flowbite y otros.",Enqueue micromodal globally. Used in menu and search modals.,active,,1.0.0,,
replace,custom,UX,Librerías personalizadas de Enfant Terrible,my-custom-functionality-master,Librerías personalizadas de Enfant Terrible,Enqueue fancybox for fotoperiodismo post type.,active,,1.0.0,,
replace,third-party,content-types,Advanced Custom Fields,advanced-custom-fields,"Customize WordPress with powerful, professional and intuitive fields.","Register custom fields for:
- Locales y beneficios (image, name, description, market sector, benefit, link, pack, contact methods)
- certificaciones_web (# order, link, visibility, start/end date, image, status, notes, start screenshot, end screenshot, position)
- fotoperiodismo (inactive)
- Política de privacidad (page, WYSIWYG editor)
- users (institutional fields: photo, instagram, cargo)
- posts (conditional logic for managing the home page)",active,,6.3.12,active,21/01/25
replace,third-party,content-types,Custom Post Type UI,custom-post-type-ui,Admin UI panel for registering custom post types and taxonomies,"Register cf_beneficios, certificaciones_web, dossiers CPTs. Ideally migrate and focus later on a deprecation path.",active,,1.17.2,active,19/11/24
replace,third-party,UX,Reading Time WP,reading-time-wp,Add an estimated reading time to your posts.,"Not really used anymore, but would be nice to have for UX purposes. Could also be relatively easy to encapsulate within a custom block.",active,,2.0.17,active,17/11/24
